(Core-genome)Median	2.5%	97.5%
3450	2922	5317
1805	1305	2808
1352	1085	2257
1227	999	1778
1165	961	1701
1124	930	1592
1080	911	1528
1045	905	1506
1022	890	1438
1005	880	1343
986	874	1199
973	864	1171
962	859	1149
949	850	1128
939	845	1113
929	840	1101
921	834	1084
914	828	1062
908	825	1053
904	819	1045
898	816	1021
894	811	1008
889	810	1003
883	807	998
880	807	996
875	804	993
872	801	989
869	800	972
865	797	968
862	794	960
860	793	956
857	790	955
854	786	953
851	785	949
849	782	945
847	780	943
845	778	940
843	776	936
841	775	934
838	773	932
836	771	929
834	770	924
832	769	923
830	767	918
828	766	917
827	765	909
824	765	899
821	762	899
820	761	897
818	757	896
817	756	894
814	755	893
813	753	890
812	751	888
810	751	887
809	750	884
807	749	880
806	748	879
806	747	878
804	747	878
803	745	876
801	742	875
799	741	874
798	740	874
797	740	872
796	739	870
794	738	867
793	736	862
791	736	860
791	734	859
790	733	859
788	733	857
788	731	855
787	731	855
786	729	853
785	729	851
784	728	851
783	727	848
783	727	846
782	727	845
780	726	843
780	725	840
779	724	836
778	723	836
777	723	836
775	723	836
774	723	834
774	721	830
773	721	830
772	721	828
771	720	826
770	720	825
769	719	825
768	718	824
768	717	824
766	717	823
765	716	822
764	715	820
762	715	818
762	715	818
761	715	818
761	714	818
760	713	814
758	713	814
757	711	813
757	710	812
756	709	809
755	709	809
755	709	807
753	709	805
753	708	805
752	708	804
751	707	802
750	707	801
749	707	799
748	706	799
748	706	798
747	706	797
746	706	796
745	706	796
745	705	795
744	704	795
743	704	795
742	704	794
741	704	794
741	704	793
740	704	793
739	704	793
738	703	791
738	703	791
737	703	791
737	703	791
736	702	786
734	702	786
734	702	784
733	702	784
733	702	784
732	701	781
732	701	781
731	701	780
730	701	778
730	701	778
730	700	777
729	700	775
729	700	775
729	700	774
728	700	773
727	700	772
727	700	772
727	699	771
726	699	771
726	699	769
725	699	768
725	699	766
724	699	766
724	699	766
723	699	765
723	699	765
722	699	765
722	699	764
721	698	761
721	698	761
720	698	761
720	698	761
719	698	760
718	698	759
718	698	758
717	698	755
716	698	754
715	698	754
714	698	754
713	698	754
713	698	753
712	698	753
712	697	753
711	697	751
711	697	751
710	697	751
710	697	750
709	697	750
708	697	749
705	697	749
704	697	748
703	696	748
702	696	748
702	696	748
702	696	747
701	696	747
701	696	747
701	696	746
700	696	746
700	696	745
700	696	745
700	696	742
699	696	742
699	696	742
699	696	737
699	696	736
699	696	736
698	696	736
698	696	736
698	696	736
698	696	729
698	696	729
698	696	727
698	696	727
698	696	727
697	696	726
697	696	726
697	696	724
697	696	724
697	696	723
697	696	722
697	696	722
697	696	722
696	696	722
696	696	722
696	696	722
696	696	718
696	696	717
696	696	717
696	696	707
696	696	697
696	696	696
